Test,OS,InstanceType,FeatureRate,Label,Timestamp,Unit,Average,Minimum,Maximum
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,CPUUtilization,1720653900.0,Percent,9.452545621198233,9.452545621198233,9.452545621198233
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,CPUUtilization,1720653660.0,Percent,9.086818113635227,9.086818113635227,9.086818113635227
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,CPUUtilization,1720653960.0,Percent,9.783659455315178,9.783659455315178,9.783659455315178
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,CPUUtilization,1720653720.0,Percent,9.649839169347178,9.649839169347178,9.649839169347178
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,CPUUtilization,1720653780.0,Percent,9.503808523759522,9.503808523759522,9.503808523759522
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,CPUUtilization,1720654020.0,Percent,9.56698556618554,9.56698556618554,9.56698556618554
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,CPUUtilization,1720654080.0,Percent,9.569521523923804,9.569521523923804,9.569521523923804
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,CPUUtilization,1720653840.0,Percent,9.536825613760229,9.536825613760229,9.536825613760229
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,CPUUtilization,1720654140.0,Percent,9.45864862162072,9.45864862162072,9.45864862162072
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,CPUUtilization,1720653600.0,Percent,2.5416243062615624,2.5416243062615624,2.5416243062615624
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,mem_used_percent,1720653900.0,Percent,39.39297335326708,39.39297335326708,39.39297335326708
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,mem_used_percent,1720653660.0,Percent,39.45790461114531,39.45790461114531,39.45790461114531
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,mem_used_percent,1720653960.0,Percent,39.39556278642551,39.39556278642551,39.39556278642551
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,mem_used_percent,1720653720.0,Percent,39.48045222251537,39.48045222251537,39.48045222251537
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,mem_used_percent,1720653780.0,Percent,39.46320562053567,39.46320562053567,39.46320562053567
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,mem_used_percent,1720654020.0,Percent,39.44564144656485,39.44564144656485,39.44564144656485
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,mem_used_percent,1720654080.0,Percent,39.410415384164395,39.410415384164395,39.410415384164395
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,mem_used_percent,1720653840.0,Percent,39.49063895484615,39.49063895484615,39.49063895484615
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,mem_used_percent,1720654140.0,Percent,39.41400639052561,39.41400639052561,39.41400639052561
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,mem_used_percent,1720653600.0,Percent,39.453434174654824,39.453434174654824,39.453434174654824
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,NetworkIn,1720653960.0,Bytes,19372132.0,19372132.0,19372132.0
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,NetworkIn,1720653660.0,Bytes,14895775.0,14895775.0,14895775.0
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,NetworkIn,1720653780.0,Bytes,18740646.0,18740646.0,18740646.0
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,NetworkIn,1720654020.0,Bytes,18726347.0,18726347.0,18726347.0
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,NetworkIn,1720653720.0,Bytes,19376746.0,19376746.0,19376746.0
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,NetworkIn,1720653840.0,Bytes,19387284.0,19387284.0,19387284.0
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,NetworkIn,1720654080.0,Bytes,19387997.0,19387997.0,19387997.0
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,NetworkIn,1720653900.0,Bytes,19367677.0,19367677.0,19367677.0
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,NetworkIn,1720654140.0,Bytes,19383899.0,19383899.0,19383899.0
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,NetworkIn,1720653600.0,Bytes,170861.0,170861.0,170861.0
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,NetworkOut,1720653960.0,Bytes,176667.0,176667.0,176667.0
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,NetworkOut,1720653660.0,Bytes,169568.0,169568.0,169568.0
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,NetworkOut,1720653780.0,Bytes,168190.0,168190.0,168190.0
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,NetworkOut,1720654020.0,Bytes,173429.0,173429.0,173429.0
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,NetworkOut,1720653720.0,Bytes,171550.0,171550.0,171550.0
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,NetworkOut,1720653840.0,Bytes,179015.0,179015.0,179015.0
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,NetworkOut,1720654080.0,Bytes,176519.0,176519.0,176519.0
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,NetworkOut,1720653900.0,Bytes,173885.0,173885.0,173885.0
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,NetworkOut,1720654140.0,Bytes,175618.0,175618.0,175618.0
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,NetworkOut,1720653600.0,Bytes,181173.0,181173.0,181173.0
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,CPUUtilization,1720654680.0,Percent,2.744954250762487,2.744954250762487,2.744954250762487
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,CPUUtilization,1720655220.0,Percent,9.619679344021865,9.619679344021865,9.619679344021865
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,CPUUtilization,1720654740.0,Percent,7.225240841361379,7.225240841361379,7.225240841361379
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,CPUUtilization,1720654980.0,Percent,9.799999999999999,9.799999999999999,9.799999999999999
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,CPUUtilization,1720655040.0,Percent,9.65849430823847,9.65849430823847,9.65849430823847
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,CPUUtilization,1720654800.0,Percent,9.816175857873773,9.816175857873773,9.816175857873773
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,CPUUtilization,1720655100.0,Percent,9.661827697128285,9.661827697128285,9.661827697128285
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,CPUUtilization,1720654860.0,Percent,9.528968597906529,9.528968597906529,9.528968597906529
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,CPUUtilization,1720655160.0,Percent,9.56150730821153,9.56150730821153,9.56150730821153
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,CPUUtilization,1720654920.0,Percent,9.574521273936302,9.574521273936302,9.574521273936302
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,mem_used_percent,1720654680.0,Percent,39.45265245898435,39.45265245898435,39.45265245898435
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,mem_used_percent,1720655220.0,Percent,39.39976450815427,39.39976450815427,39.39976450815427
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,mem_used_percent,1720654740.0,Percent,39.4670409130439,39.4670409130439,39.4670409130439
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,mem_used_percent,1720654980.0,Percent,39.442710012800596,39.442710012800596,39.442710012800596
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,mem_used_percent,1720655040.0,Percent,39.55254106450131,39.55254106450131,39.55254106450131
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,mem_used_percent,1720654800.0,Percent,39.46420719373846,39.46420719373846,39.46420719373846
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,mem_used_percent,1720655100.0,Percent,39.375458036525664,39.375458036525664,39.375458036525664
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,mem_used_percent,1720654860.0,Percent,39.44239244080946,39.44239244080946,39.44239244080946
GeoJSON_HTTPPoller,Linux,m4.xlarge,1600,mem_used_percent,1720655160.0,Percent,39.38728148604149,39.38728148604149,39.38728148604149
