Test,OS,InstanceType,FeatureRate,Label,Timestamp,Unit,Average,Minimum,Maximum
GeoJSON_WebSocket,Linux,m4.xlarge,6400,CPUUtilization,1721157960.0,Percent,2.1033683894731574,2.1033683894731574,2.1033683894731574
GeoJSON_WebSocket,Linux,m4.xlarge,6400,CPUUtilization,1721157720.0,Percent,2.2916666666666665,2.2916666666666665,2.2916666666666665
GeoJSON_WebSocket,Linux,m4.xlarge,6400,CPUUtilization,1721158020.0,Percent,2.1116314728087864,2.1116314728087864,2.1116314728087864
GeoJSON_WebSocket,Linux,m4.xlarge,6400,CPUUtilization,1721157780.0,Percent,2.2200740024667494,2.2200740024667494,2.2200740024667494
GeoJSON_WebSocket,Linux,m4.xlarge,6400,CPUUtilization,1721157840.0,Percent,2.1948902554872256,2.1948902554872256,2.1948902554872256
GeoJSON_WebSocket,Linux,m4.xlarge,6400,CPUUtilization,1721158080.0,Percent,2.2167405580186004,2.2167405580186004,2.2167405580186004
GeoJSON_WebSocket,Linux,m4.xlarge,6400,CPUUtilization,1721158140.0,Percent,2.2082965283911937,2.2082965283911937,2.2082965283911937
GeoJSON_WebSocket,Linux,m4.xlarge,6400,CPUUtilization,1721157900.0,Percent,2.1950365839430654,2.1950365839430654,2.1950365839430654
GeoJSON_WebSocket,Linux,m4.xlarge,6400,CPUUtilization,1721157660.0,Percent,2.245,2.245,2.245
GeoJSON_WebSocket,Linux,m4.xlarge,6400,CPUUtilization,1721158200.0,Percent,2.1749275024165864,2.1749275024165864,2.1749275024165864
GeoJSON_WebSocket,Linux,m4.xlarge,6400,mem_used_percent,1721157960.0,Percent,35.28600303208114,35.28600303208114,35.28600303208114
GeoJSON_WebSocket,Linux,m4.xlarge,6400,mem_used_percent,1721157720.0,Percent,35.26912285107478,35.26912285107478,35.26912285107478
GeoJSON_WebSocket,Linux,m4.xlarge,6400,mem_used_percent,1721158020.0,Percent,35.29145061582125,35.29145061582125,35.29145061582125
GeoJSON_WebSocket,Linux,m4.xlarge,6400,mem_used_percent,1721157780.0,Percent,35.22209774479805,35.22209774479805,35.22209774479805
GeoJSON_WebSocket,Linux,m4.xlarge,6400,mem_used_percent,1721157840.0,Percent,35.26934270871452,35.26934270871452,35.26934270871452
GeoJSON_WebSocket,Linux,m4.xlarge,6400,mem_used_percent,1721158080.0,Percent,35.301393066862616,35.301393066862616,35.301393066862616
GeoJSON_WebSocket,Linux,m4.xlarge,6400,mem_used_percent,1721158140.0,Percent,35.30684065060273,35.30684065060273,35.30684065060273
GeoJSON_WebSocket,Linux,m4.xlarge,6400,mem_used_percent,1721157900.0,Percent,35.27747744138473,35.27747744138473,35.27747744138473
GeoJSON_WebSocket,Linux,m4.xlarge,6400,mem_used_percent,1721157660.0,Percent,35.239442069710506,35.239442069710506,35.239442069710506
GeoJSON_WebSocket,Linux,m4.xlarge,6400,mem_used_percent,1721158200.0,Percent,35.31223937708956,35.31223937708956,35.31223937708956
GeoJSON_WebSocket,Linux,m4.xlarge,6400,NetworkIn,1721158020.0,Bytes,11257.0,11257.0,11257.0
GeoJSON_WebSocket,Linux,m4.xlarge,6400,NetworkIn,1721157720.0,Bytes,57155.0,57155.0,57155.0
GeoJSON_WebSocket,Linux,m4.xlarge,6400,NetworkIn,1721157840.0,Bytes,11257.0,11257.0,11257.0
GeoJSON_WebSocket,Linux,m4.xlarge,6400,NetworkIn,1721158080.0,Bytes,11257.0,11257.0,11257.0
GeoJSON_WebSocket,Linux,m4.xlarge,6400,NetworkIn,1721157780.0,Bytes,11317.0,11317.0,11317.0
GeoJSON_WebSocket,Linux,m4.xlarge,6400,NetworkIn,1721157900.0,Bytes,11257.0,11257.0,11257.0
GeoJSON_WebSocket,Linux,m4.xlarge,6400,NetworkIn,1721158140.0,Bytes,11251.0,11251.0,11251.0
GeoJSON_WebSocket,Linux,m4.xlarge,6400,NetworkIn,1721157960.0,Bytes,11257.0,11257.0,11257.0
GeoJSON_WebSocket,Linux,m4.xlarge,6400,NetworkIn,1721157660.0,Bytes,219165.0,219165.0,219165.0
GeoJSON_WebSocket,Linux,m4.xlarge,6400,NetworkIn,1721158200.0,Bytes,11257.0,11257.0,11257.0
GeoJSON_WebSocket,Linux,m4.xlarge,6400,NetworkOut,1721158020.0,Bytes,8857.0,8857.0,8857.0
GeoJSON_WebSocket,Linux,m4.xlarge,6400,NetworkOut,1721157720.0,Bytes,59719.0,59719.0,59719.0
GeoJSON_WebSocket,Linux,m4.xlarge,6400,NetworkOut,1721157840.0,Bytes,8853.0,8853.0,8853.0
GeoJSON_WebSocket,Linux,m4.xlarge,6400,NetworkOut,1721158080.0,Bytes,8818.0,8818.0,8818.0
GeoJSON_WebSocket,Linux,m4.xlarge,6400,NetworkOut,1721157780.0,Bytes,8949.0,8949.0,8949.0
GeoJSON_WebSocket,Linux,m4.xlarge,6400,NetworkOut,1721157900.0,Bytes,8920.0,8920.0,8920.0
GeoJSON_WebSocket,Linux,m4.xlarge,6400,NetworkOut,1721158140.0,Bytes,8816.0,8816.0,8816.0
GeoJSON_WebSocket,Linux,m4.xlarge,6400,NetworkOut,1721157960.0,Bytes,8854.0,8854.0,8854.0
GeoJSON_WebSocket,Linux,m4.xlarge,6400,NetworkOut,1721157660.0,Bytes,224613.0,224613.0,224613.0
GeoJSON_WebSocket,Linux,m4.xlarge,6400,NetworkOut,1721158200.0,Bytes,8855.0,8855.0,8855.0
